id,name,address,telephone_number,url,longitude,latitude
1,신반포센터,서울시 서초구 반포대로 287 래미안퍼스티지 중심상가 5층,02-3477-0113,http://www.toz.co.kr/branch/main/index.htm?id=41,,
2,강남점,서울시 서초구 서초동 1307-26 승원빌딩 3층,02-3476-0118,http://www.toz.co.kr/branch/main/index.htm?id=10,,
3,강남토즈타워점,서울시 강남구 역삼동 827-3,02-3454-0116,http://www.toz.co.kr/branch/main/index.htm?id=24,,
4,강남2호점,서울시 서초구 서초동 1303-34 백암빌딩 3층,02-591-0116,http://www.toz.co.kr/branch/main/index.htm?id=11,,
5,메가젠토즈타워점,서울시 강남구 논현동 268-15 1층,02-544-0118,http://www.toz.co.kr/branch/main/index.htm?id=25,,
6,선릉점,서울시 강남구 대치동 890-34 세왕빌딩 9층,02-2052-0113,http://www.toz.co.kr/branch/main/index.htm?id=12,,
7,교대점,서울시 서초구 서초동 1657-5 카이스시스템빌딩 7층,02-2055-0116,http://www.toz.co.kr/branch/main/index.htm?id=19,,
8,양재점,서울시 서초구 양재동 영일빌딩 2층,02-2058-0118,http://www.toz.co.kr/branch/main/index.htm?id=18,,
9,삼성점,서울시 강남구 삼성동 169-1 3층,02-538-0118,http://www.toz.co.kr/branch/main/index.htm?id=17,,
10,신천점,서울시 송파구 잠실동 175-14 두성빌딩 10층,02-3431-0116,http://www.toz.co.kr/branch/main/index.htm?id=23,,
11,TSC 반포센터,서울시 서초구 반포동 50-12 삼우빌딩 1층,02-595-7070,http://www.toz.co.kr/branch/main/index.htm?id=32,,
12,TSC 도곡타워,서울시 강남구 도곡동 467-23 인스토피아빌딩 201호,02-576-0905,http://www.toz.co.kr/branch/main/index.htm?id=36,,
13,신촌본점,서울시 서대문구 창천동 즐거운빌딩 4층,02-392-0117,http://www.toz.co.kr/branch/main/index.htm?id=5,,
14,신촌비즈센터,서울시 마포구 노고산동 아이비타워 15층,02-718-0113,http://www.toz.co.kr/branch/main/index.htm?id=7,,
15,아트레온점,서울시 서대문구 창천동 20-25 아트레온 빌딩 14층,02-392-0112,http://www.toz.co.kr/branch/main/index.htm?id=6,,
16,건대점,서울시 광진구 화양동 48-5 선일빌딩 5층,02-467-0116,http://www.toz.co.kr/branch/main/index.htm?id=20,,
17,홍대점,서울시 마포구 동교동 157-1 KT신촌지사,02-336-0112,http://www.toz.co.kr/branch/main/index.htm?id=16,,
18,종로점,서울시 종로구 종로2가 84-8 대한기독교서회빌딩 5층,02-736-0116,http://www.toz.co.kr/branch/main/index.htm?id=9,,
19,대학로점,서울시 종로구 명륜2가 17-5 혜화플라자 4층,02-764-0013,http://www.toz.co.kr/branch/main/index.htm?id=8,,
20,TSC 광장센터,서울시 광진구 구의동 199-2 이진빌딩 2층,02-3425-3119,http://www.toz.co.kr/branch/main/index.htm?id=40,,
21,TSC 목동1센터,서울특별시 양천구 신정동 991-5 제연빌딩 4층,02-2605-7709,http://www.toz.co.kr/branch/main/index.htm?id=45,,
22,마이스센터 기흥점,경기도 용인시 기흥구 고매동 413-19,031-275-0303,http://www.toz.co.kr/branch/main/index.htm?id=38,,
23,분당서현점,경기도 성남시 분당구 서현동 272-3 정가빌딩 7층,031-706-0116,http://www.toz.co.kr/branch/main/index.htm?id=21,,
24,TSC 야탑센터,경기도 성남시 분당구 야탑동 533-3 동양프라자 4층,031-707-0333,http://www.toz.co.kr/branch/main/index.htm?id=33,,
25,TSC 평촌센터,경기도 안양시 동안구 호계동1058-2 신풍빌딩 5층,031-388-1515,http://www.toz.co.kr/branch/main/index.htm?id=37,,
26,TSC 일산주엽센터,주소경기도 고양시 일산서구 주엽동 19-1번지 4층,031-922-3114,http://www.toz.co.kr/branch/main/index.htm?id=42,,
27,TSC 판교센터,경기도 성남시 분당구 운중동 948번지 10층,031-8017-1212,http://www.toz.co.kr/branch/main/index.htm?id=43,,
28,TSC 죽전센터,경기도 용인시 수지구 죽전동 1190-3 예타운빌딩 4층,031-897-2145,http://www.toz.co.kr/branch/main/index.htm?id=44,,
